,Gate fidelity,EPR channel fidelity,Sample index,M_Alice,M_Bob,Fidelity
205,1.0,0.4,5,0,1,0.9996402735884552
206,1.0,0.4,6,0,1,0.0
207,1.0,0.4,7,1,0,0.010852578868978401
208,1.0,0.4,8,0,1,0.9999896186129421
209,1.0,0.4,9,1,0,0.924528301886792
210,1.0,0.4,10,1,1,1.0
211,1.0,0.4,11,1,1,6.761801097333848e-35
212,1.0,0.4,12,1,0,0.0
213,1.0,0.4,13,1,0,0.9245283018867925
214,1.0,0.4,14,0,0,6.761801097333848e-35
215,1.0,0.4,15,0,1,-2.9947137044597166e-22
216,1.0,0.4,16,0,0,1.0
217,1.0,0.4,17,1,0,0.6659098533430861
218,1.0,0.4,18,0,1,0.9245283018867922
219,1.0,0.4,19,1,1,0.0
220,1.0,0.4,20,0,1,1.5819404241794603e-34
221,1.0,0.4,21,0,0,6.761801097333848e-35
222,1.0,0.4,22,1,0,0.014416973773981528
223,1.0,0.4,23,1,1,0.07384203981972944
224,1.0,0.4,24,0,1,0.07384208567147524
225,1.0,0.4,25,1,0,-2.9947137044597166e-22
226,1.0,0.4,26,0,1,0.14444764294684592
227,1.0,0.4,27,1,1,1.0
228,1.0,0.4,28,1,0,1.0
229,1.0,0.4,29,0,1,0.0
230,1.0,0.4,30,1,1,7.15016798709025e-38
231,1.0,0.4,31,0,1,0.07384208567147524
232,1.0,0.4,32,0,0,0.00012015313345274976
233,1.0,0.4,33,0,0,1.0
234,1.0,0.4,34,1,1,1.0
235,1.0,0.4,35,0,0,0.07547091496947683
236,1.0,0.4,36,1,0,1.5672611182998203e-34
237,1.0,0.4,37,0,0,1.126561906681433e-34
238,1.0,0.4,38,0,1,0.07384208567147524
239,1.0,0.4,39,1,0,8.86991591055468e-06
240,1.0,0.4,40,1,1,1.1812062818889308e-52
241,1.0,0.4,41,0,0,0.9261579111254983
242,1.0,0.4,42,0,0,0.8786727400076508
243,1.0,0.4,43,1,0,0.973659346294204
244,1.0,0.4,44,1,1,1.0
245,1.0,0.4,45,1,1,1.0
246,1.0,0.4,46,0,0,0.07384203981972948
247,1.0,0.4,47,0,0,0.8596491228070176
248,1.0,0.4,48,0,1,0.07384208567147524
249,1.0,0.4,49,0,0,1.5064186224964892e-36
250,1.0,0.4,50,0,0,0.06455814931428147
251,1.0,0.4,51,0,1,0.0
252,1.0,0.4,52,1,1,1.0
253,1.0,0.4,53,1,1,0.14477271859660898
254,1.0,0.4,54,0,0,0.9228090069184496
255,1.0,0.4,55,1,0,8.770804003532424e-64
256,1.0,0.4,56,0,0,1.0
257,1.0,0.4,57,1,1,0.0
258,1.0,0.4,58,0,1,5.0849734214028e-64
259,1.0,0.4,59,1,0,0.9245283018867922
260,1.0,0.4,60,0,1,2.5152827988764244e-05
261,1.0,0.4,61,0,0,0.9999999999999998
262,1.0,0.4,62,1,0,1.0
263,1.0,0.4,63,1,0,0.924528301886792
264,1.0,0.4,64,0,0,0.8596491228070176
265,1.0,0.4,65,1,0,-1.4622625510057173e-25
266,1.0,0.4,66,0,1,1.0
267,1.0,0.4,67,1,0,0.00012506180076873907
268,1.0,0.4,68,0,1,0.0
269,1.0,0.4,69,1,1,0.9999999999999998
270,1.0,0.4,70,0,1,0.0
271,1.0,0.4,71,1,1,4.146099185833635e-33
272,1.0,0.4,72,0,0,0.14852307868237608
273,1.0,0.4,73,1,1,0.07547091496947694
274,1.0,0.4,74,0,0,6.863832265078007e-33
275,1.0,0.4,75,1,1,0.5924946556385269
276,1.0,0.4,76,1,1,0.004533947881440894
277,1.0,0.4,77,0,0,0.07384022833419596
278,1.0,0.4,78,0,1,1.0942623171948017e-63
279,1.0,0.4,79,1,1,1.0
280,1.0,0.4,80,1,1,1.0
281,1.0,0.4,81,1,0,4.2607462214240494e-33
282,1.0,0.4,82,0,0,1.9222219545058645e-34
283,1.0,0.4,83,1,0,0.07384208567147524
284,1.0,0.4,84,0,1,0.9996402735884552
285,1.0,0.4,85,0,0,0.49627791563275464
286,1.0,0.4,86,0,0,0.9261579111254983
287,1.0,0.4,87,1,1,1.0
288,1.0,0.4,88,1,1,1.0
289,1.0,0.4,89,1,0,8.737687106022928e-34
290,1.0,0.4,90,1,0,1.2611587580614925e-31
291,1.0,0.4,91,1,1,0.9228090069184495
292,1.0,0.4,92,1,0,0.924528301886792
293,1.0,0.4,93,1,0,0.0
294,1.0,0.4,94,1,1,2.5347642900332258e-34
295,1.0,0.4,95,1,1,6.761801097333847e-35
296,1.0,0.4,96,0,0,0.0
297,1.0,0.4,97,1,0,0.004860399048654611
298,1.0,0.4,98,1,1,0.9999999999999998
299,1.0,0.4,99,1,0,1.0
300,1.0,0.6,0,0,0,1.0
301,1.0,0.6,1,1,1,1.0
302,1.0,0.6,2,1,0,1.378044269103392e-63
303,1.0,0.6,3,1,1,1.0
304,1.0,0.6,4,1,0,0.058823529411764705
305,1.0,0.6,5,1,1,0.8767123287671231
306,1.0,0.6,6,0,0,1.0
307,1.0,0.6,7,1,1,0.0
308,1.0,0.6,8,1,1,1.0
309,1.0,0.6,9,0,0,1.0
310,1.0,0.6,10,0,1,0.05882352941176462
311,1.0,0.6,11,0,0,1.5407439555097887e-33
312,1.0,0.6,12,0,0,1.5407439555097887e-33
313,1.0,0.6,13,0,1,6.089032816968474e-64
314,1.0,0.6,14,1,0,0.05882352941176466
315,1.0,0.6,15,0,1,0.0
316,1.0,0.6,16,0,1,0.9999999999999997
317,1.0,0.6,17,0,0,1.0
318,1.0,0.6,18,1,0,0.0
319,1.0,0.6,19,1,0,1.0163224852883539e-63
320,1.0,0.6,20,0,1,1.1017522988110238e-31
321,1.0,0.6,21,1,1,1.0
322,1.0,0.6,22,1,0,0.058823529411764705
323,1.0,0.6,23,1,0,3.4184043884735275e-64
324,1.0,0.6,24,0,1,0.058823529411764705
325,1.0,0.6,25,1,1,1.5407439555097887e-33
326,1.0,0.6,26,0,1,9.735924304324341e-64
327,1.0,0.6,27,1,0,0.0
328,1.0,0.6,28,1,0,0.9999999999999997
329,1.0,0.6,29,0,1,1.0
330,1.0,0.6,30,0,1,0.9999999999999997
331,1.0,0.6,31,1,1,1.0
332,1.0,0.6,32,0,1,0.9411764705882351
333,1.0,0.6,33,1,1,1.0
334,1.0,0.6,34,1,1,0.04705882352941177
335,1.0,0.6,35,1,0,1.4501119581268594e-33
336,1.0,0.6,36,0,0,9.860761315262656e-32
337,1.0,0.6,37,1,1,1.0
338,1.0,0.6,38,0,0,1.0
339,1.0,0.6,39,0,1,2.6192647243666397e-32
340,1.0,0.6,40,0,1,0.058823529411764705
341,1.0,0.6,41,1,1,1.0
342,1.0,0.6,42,1,1,1.0
343,1.0,0.6,43,0,0,9.860761315262648e-33
344,1.0,0.6,44,1,0,4.086061495597264e-64
345,1.0,0.6,45,0,0,1.0
346,1.0,0.6,46,0,1,0.8
347,1.0,0.6,47,1,0,1.0956401461402944e-34
348,1.0,0.6,48,0,0,6.077163357286274e-64
349,1.0,0.6,49,0,1,1.378044269103392e-63
350,1.0,0.6,50,1,1,1.0
351,1.0,0.6,51,0,1,0.9411764705882353
