,Gate fidelity,EPR channel fidelity,Sample index,M_Alice_1,M_Alice_2,M_Bob_1,M_Bob_2,Fidelity
186,1.0,0.2,86,0,1,1,0,0.0
187,1.0,0.2,87,0,1,1,1,0.0
188,1.0,0.2,88,0,1,1,0,0.0
189,1.0,0.2,89,1,0,0,1,0.0
190,1.0,0.2,90,1,0,1,0,0.9999999999999997
191,1.0,0.2,91,1,1,0,0,0.9999999999999997
192,1.0,0.2,92,1,0,1,0,0.0
193,1.0,0.2,93,1,1,1,1,1.0
194,1.0,0.2,94,0,0,0,0,0.0
195,1.0,0.2,95,1,0,1,0,0.0
196,1.0,0.2,96,1,1,1,1,0.0
197,1.0,0.2,97,1,1,0,1,0.0
198,1.0,0.2,98,0,0,1,1,1.0
199,1.0,0.2,99,1,1,0,1,1.0
200,1.0,0.4,0,0,1,0,1,1.0
201,1.0,0.4,1,0,1,0,0,8.770804003532424e-64
202,1.0,0.4,2,1,0,0,0,1.0
203,1.0,0.4,3,1,0,0,1,1.5064186224964892e-36
204,1.0,0.4,4,0,0,0,1,5.240740124940295e-33
205,1.0,0.4,5,1,0,1,1,2.6187206807674965e-63
206,1.0,0.4,6,0,0,0,1,5.0849734214028026e-64
207,1.0,0.4,7,1,1,1,1,1.0
208,1.0,0.4,8,0,1,0,0,0.9245283018867922
209,1.0,0.4,9,1,1,0,1,0.7234582701019063
210,1.0,0.4,10,0,0,1,1,1.5064186224964892e-36
211,1.0,0.4,11,0,1,1,1,0.6659098533430857
212,1.0,0.4,12,0,0,0,1,0.07384208567147524
213,1.0,0.4,13,1,0,0,0,0.0
214,1.0,0.4,14,0,0,0,0,1.0
215,1.0,0.4,15,0,0,0,0,0.0
216,1.0,0.4,16,0,0,1,0,6.209432647891915e-07
217,1.0,0.4,17,1,0,1,1,1.56726111829982e-34
218,1.0,0.4,18,1,1,1,1,1.0
219,1.0,0.4,19,0,0,1,0,0.012806687215359679
220,1.0,0.4,20,0,1,0,1,7.150167987091058e-38
221,1.0,0.4,21,1,0,0,0,0.0
222,1.0,0.4,22,0,1,0,0,7.689472003096919e-64
223,1.0,0.4,23,0,0,1,1,0.07547091496947686
224,1.0,0.4,24,0,1,0,1,1.0
225,1.0,0.4,25,0,1,1,1,1.0
226,1.0,0.4,26,1,1,0,0,6.761801097333848e-35
227,1.0,0.4,27,0,0,0,0,1.0
228,1.0,0.4,28,0,0,1,0,1.0
229,1.0,0.4,29,1,1,0,0,6.761801097333847e-35
230,1.0,0.4,30,1,1,1,1,0.012532106712395456
231,1.0,0.4,31,0,0,1,0,0.0018596455780031118
232,1.0,0.4,32,0,1,0,1,1.0
233,1.0,0.4,33,0,1,1,0,1.5850307549398608e-34
234,1.0,0.4,34,0,1,0,1,0.0
235,1.0,0.4,35,0,0,0,0,1.0
236,1.0,0.4,36,1,1,1,0,7.689472003096916e-64
237,1.0,0.4,37,1,0,1,0,1.0
238,1.0,0.4,38,1,1,1,1,0.9999999999999998
239,1.0,0.4,39,0,0,0,0,0.0
240,1.0,0.4,40,1,1,1,1,1.0
241,1.0,0.4,41,1,1,0,1,0.004860399048654609
242,1.0,0.4,42,1,0,0,1,6.761801097333848e-35
243,1.0,0.4,43,1,1,0,1,6.209432647891915e-07
244,1.0,0.4,44,0,1,1,1,0.0
245,1.0,0.4,45,0,1,0,1,2.1948257170277097e-36
246,1.0,0.4,46,1,0,0,0,1.0
247,1.0,0.4,47,0,0,0,1,5.541826502231962e-64
248,1.0,0.4,48,0,0,0,0,0.012491640038313382
249,1.0,0.4,49,1,0,1,0,1.0
250,1.0,0.4,50,1,1,0,0,9.710942855227798e-06
251,1.0,0.4,51,1,1,1,1,1.0
252,1.0,0.4,52,0,0,1,1,2.739100365350737e-33
253,1.0,0.4,53,1,0,1,1,3.3553363318517935e-63
254,1.0,0.4,54,1,0,0,1,1.5064186224964892e-36
255,1.0,0.4,55,0,0,0,1,5.0849734214028026e-64
256,1.0,0.4,56,0,1,0,1,0.0
257,1.0,0.4,57,1,0,0,0,1.0
258,1.0,0.4,58,1,1,0,1,0.07017543859649122
259,1.0,0.4,59,0,1,0,1,1.0
260,1.0,0.4,60,1,1,1,1,0.0
261,1.0,0.4,61,1,0,1,0,2.2785597821061783e-34
262,1.0,0.4,62,1,1,0,1,0.0
263,1.0,0.4,63,1,1,1,1,1.4898652020642636e-36
264,1.0,0.4,64,0,1,0,1,0.012491640038313382
265,1.0,0.4,65,1,1,1,1,3.2070404484030017e-34
266,1.0,0.4,66,0,0,0,0,1.0
267,1.0,0.4,67,1,0,1,1,4.15383779558591e-33
268,1.0,0.4,68,1,1,1,0,0.9354186296481549
269,1.0,0.4,69,0,1,1,0,1.5064186224964892e-36
270,1.0,0.4,70,0,1,1,1,6.209432647891915e-07
271,1.0,0.4,71,0,0,0,0,1.3831912619606301e-08
272,1.0,0.4,72,0,1,0,1,1.0
273,1.0,0.4,73,0,0,0,1,0.924528301886792
274,1.0,0.4,74,0,0,1,1,0.0009670784334509573
275,1.0,0.4,75,1,0,1,1,5.0849734214028006e-64
276,1.0,0.4,76,1,1,0,1,1.0
277,1.0,0.4,77,0,0,1,1,1.5850307549398557e-34
278,1.0,0.4,78,1,0,1,0,0.0
279,1.0,0.4,79,0,1,1,1,0.7234582701019062
280,1.0,0.4,80,0,0,0,0,1.0
281,1.0,0.4,81,0,0,0,0,1.0
282,1.0,0.4,82,1,0,1,0,0.9859114256143686
283,1.0,0.4,83,0,1,1,0,0.0001201531334527493
284,1.0,0.4,84,1,1,1,0,6.364647369560185e-34
285,1.0,0.4,85,0,1,0,1,0.9854171182392701
286,1.0,0.4,86,0,1,1,0,0.00012015313345274937
287,1.0,0.4,87,1,0,1,0,0.3005004332017888
288,1.0,0.4,88,1,1,1,0,0.9245283018867922
289,1.0,0.4,89,0,0,1,0,2.5152827988764234e-05
290,1.0,0.4,90,1,1,1,0,0.9245283018867922
291,1.0,0.4,91,1,0,1,0,1.4022252801484134e-33
292,1.0,0.4,92,1,0,0,1,0.00033257724840920935
293,1.0,0.4,93,1,1,0,1,1.0
294,1.0,0.4,94,1,0,1,1,0.9354186296481549
295,1.0,0.4,95,0,0,0,1,3.3553363318517935e-63
296,1.0,0.4,96,1,1,0,1,1.0
297,1.0,0.4,97,0,0,1,0,1.0
298,1.0,0.4,98,0,1,0,1,1.0
299,1.0,0.4,99,0,0,0,0,-1.7718094228333948e-52
300,1.0,0.6,0,1,0,0,0,1.0
301,1.0,0.6,1,0,0,0,1,2.6192647243666397e-32
302,1.0,0.6,2,1,1,1,1,1.0
303,1.0,0.6,3,0,1,1,1,1.0
304,1.0,0.6,4,0,1,1,1,0.0
305,1.0,0.6,5,0,0,0,0,1.0
306,1.0,0.6,6,0,0,0,0,1.0
